feature,importance,feature_type,importance_rank,importance_percentile
emb_13,0.0022380208,embedding,272.0,0.6868686868686869
emb_10,0.0022352736,embedding,273.0,0.6893939393939394
has_number,0.0022347418,numerical,274.0,0.6919191919191919
emb_37,0.0022335786,embedding,275.0,0.6944444444444444
emb_18,0.0022328754,embedding,276.0,0.696969696969697
emb_182,0.0022326824,embedding,277.0,0.6994949494949495
emb_125,0.0022310133,embedding,278.0,0.702020202020202
emb_62,0.0022293353,embedding,279.0,0.7045454545454546
emb_381,0.002226807,embedding,280.0,0.7070707070707071
emb_206,0.0022263266,embedding,281.0,0.7095959595959596
emb_357,0.0022241913,embedding,282.0,0.7121212121212122
emb_77,0.0022237473,embedding,283.0,0.7146464646464646
emb_140,0.0022219825,embedding,284.0,0.7171717171717171
hour,0.0022213066,numerical,285.0,0.7196969696969697
emb_102,0.0022183,embedding,286.0,0.7222222222222222
emb_264,0.0022172383,embedding,287.0,0.7247474747474747
emb_71,0.0022163934,embedding,288.0,0.7272727272727273
emb_100,0.0022161591,embedding,289.0,0.7297979797979798
emb_300,0.0022149638,embedding,290.0,0.7323232323232324
emb_39,0.002214717,embedding,291.0,0.7348484848484849
emb_199,0.002212918,embedding,292.0,0.7373737373737373
emb_86,0.0022107563,embedding,293.0,0.73989898989899
emb_230,0.0022096706,embedding,294.0,0.7424242424242424
emb_332,0.0022093973,embedding,295.0,0.7449494949494949
emb_42,0.0022092941,embedding,296.0,0.7474747474747475
emb_90,0.002208537,embedding,297.0,0.75
emb_241,0.0022065118,embedding,298.0,0.7525252525252525
emb_33,0.0022050648,embedding,299.0,0.7550505050505051
emb_124,0.0022032412,embedding,300.0,0.7575757575757576
emb_24,0.002202997,embedding,301.0,0.76010101010101
emb_48,0.002202969,embedding,302.0,0.7626262626262627
emb_291,0.0021991532,embedding,303.0,0.7651515151515151
emb_170,0.002191406,embedding,304.0,0.7676767676767676
emb_366,0.0021906637,embedding,305.0,0.7702020202020202
emb_54,0.0021897717,embedding,306.0,0.7727272727272727
emb_188,0.0021892148,embedding,307.0,0.7752525252525253
emb_202,0.002187714,embedding,308.0,0.7777777777777778
emb_373,0.0021872139,embedding,309.0,0.7803030303030303
emb_15,0.002185893,embedding,310.0,0.7828282828282829
emb_53,0.002183846,embedding,311.0,0.7853535353535354
emb_95,0.0021835286,embedding,312.0,0.7878787878787878
emb_346,0.002178637,embedding,313.0,0.7904040404040404
emb_325,0.0021783675,embedding,314.0,0.7929292929292929
emb_342,0.002175789,embedding,315.0,0.7954545454545454
emb_207,0.0021740384,embedding,316.0,0.797979797979798
emb_327,0.002171416,embedding,317.0,0.8005050505050505
emb_147,0.0021669944,embedding,318.0,0.803030303030303
emb_312,0.0021650696,embedding,319.0,0.8055555555555556
emb_328,0.0021625927,embedding,320.0,0.8080808080808081
emb_195,0.002161969,embedding,321.0,0.8106060606060606
emb_294,0.0021608532,embedding,322.0,0.8131313131313131
emb_299,0.0021608234,embedding,323.0,0.8156565656565656
emb_348,0.0021607655,embedding,324.0,0.8181818181818182
emb_75,0.0021560593,embedding,325.0,0.8207070707070707
emb_47,0.0021539333,embedding,326.0,0.8232323232323232
emb_197,0.0021494566,embedding,327.0,0.8257575757575758
emb_310,0.0021484923,embedding,328.0,0.8282828282828283
emb_334,0.002142518,embedding,329.0,0.8308080808080808
emb_259,0.0021421982,embedding,330.0,0.8333333333333334
emb_20,0.002137351,embedding,331.0,0.8358585858585859
emb_324,0.0021350228,embedding,332.0,0.8383838383838383
emb_174,0.0021343324,embedding,333.0,0.8409090909090909
emb_320,0.0021310179,embedding,334.0,0.8434343434343434
emb_156,0.0021295638,embedding,335.0,0.8459595959595959
emb_169,0.0021293913,embedding,336.0,0.8484848484848485
emb_144,0.0021276039,embedding,337.0,0.851010101010101
emb_243,0.0021256255,embedding,338.0,0.8535353535353535
emb_236,0.0021242506,embedding,339.0,0.8560606060606061
emb_2,0.0021234888,embedding,340.0,0.8585858585858586
emb_242,0.0021199875,embedding,341.0,0.8611111111111112
emb_237,0.0021184678,embedding,342.0,0.8636363636363636
emb_383,0.0021173337,embedding,343.0,0.8661616161616161
emb_126,0.0021156615,embedding,344.0,0.8686868686868687
emb_331,0.0021145004,embedding,345.0,0.8712121212121212
emb_330,0.0021130922,embedding,346.0,0.8737373737373737
emb_268,0.0021099153,embedding,347.0,0.8762626262626263
emb_285,0.0021067997,embedding,348.0,0.8787878787878788
emb_78,0.002104183,embedding,349.0,0.8813131313131313
emb_333,0.0021023904,embedding,350.0,0.8838383838383839
emb_167,0.002101506,embedding,351.0,0.8863636363636364
emb_185,0.0021003531,embedding,352.0,0.8888888888888888
emb_51,0.002089558,embedding,353.0,0.8914141414141414
emb_235,0.0020890618,embedding,354.0,0.8939393939393939
emb_26,0.0020877237,embedding,355.0,0.8964646464646465
emb_352,0.0020830622,embedding,356.0,0.898989898989899
emb_12,0.0020814764,embedding,357.0,0.9015151515151515
emb_32,0.0020766084,embedding,358.0,0.9040404040404041
emb_232,0.0020762077,embedding,359.0,0.9065656565656566
emb_96,0.002071027,embedding,360.0,0.9090909090909091
emb_355,0.0020693406,embedding,361.0,0.9116161616161617
emb_253,0.002062064,embedding,362.0,0.9141414141414141
emb_146,0.0020592362,embedding,363.0,0.9166666666666666
emb_134,0.002054272,embedding,364.0,0.9191919191919192
emb_359,0.0020508645,embedding,365.0,0.9217171717171717
emb_155,0.0020501604,embedding,366.0,0.9242424242424242
emb_353,0.0020433436,embedding,367.0,0.9267676767676768
emb_34,0.002040785,embedding,368.0,0.9292929292929293
emb_29,0.0020381394,embedding,369.0,0.9318181818181818
emb_121,0.0020334297,embedding,370.0,0.9343434343434344
emb_9,0.0020331386,embedding,371.0,0.9368686868686869
emb_45,0.0020228762,embedding,372.0,0.9393939393939394
emb_266,0.0020220238,embedding,373.0,0.9419191919191919
emb_205,0.0020168987,embedding,374.0,0.9444444444444444
emb_204,0.0020153283,embedding,375.0,0.946969696969697
emb_16,0.002014778,embedding,376.0,0.9494949494949495
emb_244,0.002008522,embedding,377.0,0.952020202020202
emb_0,0.002006993,embedding,378.0,0.9545454545454546
emb_364,0.0020018234,embedding,379.0,0.9570707070707071
emb_186,0.0019875513,embedding,380.0,0.9595959595959596
emb_57,0.0019812754,embedding,381.0,0.9621212121212122
emb_50,0.0019792542,embedding,382.0,0.9646464646464646
emb_28,0.0019747512,embedding,383.0,0.9671717171717171
emb_171,0.0019701093,embedding,384.0,0.9696969696969697
emb_269,0.001966866,embedding,385.0,0.9722222222222222
emb_1,0.0019596363,embedding,386.0,0.9747474747474747
emb_87,0.0019320505,embedding,387.0,0.9772727272727273
emb_360,0.0019287878,embedding,388.0,0.9797979797979798
emb_103,0.0019219129,embedding,389.0,0.9823232323232324
emb_107,0.0018677033,embedding,390.0,0.9848484848484849
emb_22,0.0018596759,embedding,391.0,0.9873737373737373
emb_151,0.0018444223,embedding,392.0,0.98989898989899
emb_88,0.0017981079,embedding,393.0,0.9924242424242424
emb_6,0.001696753,embedding,394.0,0.9949494949494949
time_of_day,0.0,numerical,395.5,0.9987373737373737
has_exclamation,0.0,numerical,395.5,0.9987373737373737
